บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
233,หมึก HP 131A สีเหลือง (ฺY) (แท้),กล่อง," 4,000.00 "
234,หมึก HP 201A สีดำ (ฺBK) (แท้),กล่อง," 3,200.00 "
235,หมึก HP 201A สีฟ้า (C) (แท้),กล่อง," 3,780.00 "
236,หมึก HP 201A สีชมพู่ (ฺM) (แท้),กล่อง," 3,780.00 "
237,หมึก HP 201A สีเหลือง (ฺY) (แท้),กล่อง," 3,780.00 "
238,หมึก HP 204A สีดำ (ฺBK) (แท้),กล่อง," 2,290.00 "
239,หมึก HP 204A สีฟ้า (C) (แท้),กล่อง," 2,590.00 "
240,หมึก HP 204A สีเหลือง (ฺY) (แท้),กล่อง," 2,590.00 "
241,หมึก HP 204A สีชมพู่ (ฺM) (แท้),กล่อง," 2,590.00 "
242,หมึก HP 206A สีดำ (ฺBK) (แท้),กล่อง," 2,740.00 "
243,หมึก HP 206A สีฟ้า (C) (แท้),กล่อง," 3,160.00 "
244,หมึก HP 206A สีเหลือง (ฺY) (แท้),กล่อง," 3,160.00 "
245,หมึก HP 206A สีชมพู่ (ฺM) (แท้),กล่อง," 3,160.00 "
246,หมึก HP 305A สีดำ (ฺBK) (แท้),กล่อง," 4,000.00 "
247,หมึก HP 305A สีฟ้า (C) (แท้),กล่อง," 5,600.00 "
248,หมึก HP 305A สีเหลือง (ฺY) (แท้),กล่อง," 5,600.00 "
249,หมึก HP 305A สีชมพู่ (ฺM) (แท้),กล่อง," 5,600.00 "
250,หมึก HP 920XL สีดำ (ฺBK) (แท้),กล่อง," 2,190.00 "
251,หมึก HP 920XL สีฟ้า (C) (แท้),กล่อง," 1,290.00 "
252,หมึก HP 920XL สีเหลือง (ฺY) (แท้),กล่อง," 1,290.00 "
